City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,mukalla,14.5425,49.1242,72.16,59,4,4.88,YE,1702258287
298,port alfred,-33.5906,26.891,62.19,94,36,2.75,ZA,1702258533
299,gokwe,-18.2048,28.9349,66.9,77,77,7.63,ZW,1702258533
300,nema,57.5067,50.5011,-11.09,94,100,7.18,RU,1702258533
301,camana,-16.6228,-72.7111,68.36,82,100,6.46,PE,1702258533
302,tan-tan,28.438,-11.1032,71.46,27,100,10.4,MA,1702258534
303,andrews,32.3187,-102.5457,45.66,26,0,6.91,US,1702258534
304,toliara,-23.35,43.6667,77.0,74,3,5.23,MG,1702258534
305,tlahualilo de zaragoza,26.1167,-103.45,53.67,34,0,0.98,MX,1702258428
306,taroa,8.7058,171.2275,81.82,76,71,20.94,MH,1702258477
307,malanje,-9.5402,16.341,64.15,99,100,2.89,AO,1702258535
308,margate,51.3813,1.3862,52.9,74,80,18.01,GB,1702258274
309,subaykhan,34.8544,40.6083,57.36,69,50,9.26,SY,1702258536
310,jieshi,22.8134,115.8257,74.71,81,7,4.65,CN,1702258536
311,arroyo,41.6096,-4.7969,51.6,89,0,10.36,ES,1702258536
312,mandalgovi,45.7625,106.2708,3.27,93,100,6.62,MN,1702258537
313,cascais,38.6979,-9.4215,62.06,97,10,8.99,PT,1702258256
314,wanning,18.8003,110.3967,78.44,77,65,2.84,CN,1702258537
315,ampanihy,-24.7,44.75,73.24,73,40,1.45,MG,1702258537
316,tadine,-21.55,167.8833,77.43,57,94,16.69,NC,1702258538
317,keflavik,64.0049,-22.5624,36.03,93,100,9.22,IS,1702258538
318,vilyuysk,63.7553,121.6247,-20.25,97,100,7.29,RU,1702258511
319,lompoc,34.6391,-120.4579,63.79,57,0,4.61,US,1702258460
320,saldanha,-33.0117,17.9442,57.25,88,0,13.42,ZA,1702258539
321,port isabel,26.0734,-97.2086,56.01,59,0,0.0,US,1702258539
322,acapulco de juarez,16.8634,-99.8901,82.22,83,75,3.44,MX,1702258471
323,puerto baquerizo moreno,-0.9,-89.6,74.89,88,22,10.2,EC,1702258540
324,dinguiraye,11.3,-10.7167,68.85,23,59,3.13,GN,1702258540
325,khash,28.2211,61.2158,49.06,28,2,2.37,IR,1702258540
326,boyalik,41.2634,28.6314,43.77,90,100,2.39,TR,1702258541
327,mansa,29.9833,75.3833,53.62,27,1,1.16,IN,1702258541
328,tiquipaya,-17.3382,-66.2189,66.92,64,75,11.5,BO,1702258541
329,cidreira,-30.1811,-50.2056,68.07,92,100,17.52,BR,1702258250
330,olsztynek,53.5837,20.2847,29.84,99,100,10.07,PL,1702258542
331,suffolk,40.8668,-72.7996,59.86,94,100,16.11,US,1702258542
332,del rio,29.3627,-100.8968,54.0,27,0,4.61,US,1702258542
333,punta del este,-34.9667,-54.95,66.31,91,0,7.0,UY,1702258543
334,praia da vitoria,38.7333,-27.0667,63.75,77,20,13.47,PT,1702258543
335,castillos,-34.1667,-53.8333,60.01,96,6,5.1,UY,1702258543
336,san juan de miraflores,-12.1629,-76.9635,70.18,78,87,6.15,PE,1702258543
337,nanfeng,23.7434,111.7959,80.02,63,21,1.19,CN,1702258544
338,atafu village,-8.5421,-172.5159,83.53,77,100,14.76,TK,1702258544
339,kourou,5.1552,-52.6478,80.65,90,73,6.17,GF,1702258544
340,hunchun,42.8675,130.3581,19.09,24,94,5.59,CN,1702258545
341,shadrinsk,56.0852,63.6335,-23.22,95,10,7.87,RU,1702258545
